;InChiKey;SMILES;N_count;Solvent;Target1;Target2;Target3;Target4;
726;PWUBONDMIMDOQY-UHFFFAOYSA-N;CC#N.Cl;1;;;;;;
727;PWUBONDMIMDOQY-UHFFFAOYSA-N;CC#N.Cl;1;;;;;;
750;SUAKHGWARZSWIH-UHFFFAOYSA-N;CCN(CC)C=O;1;Neat liquid;-248.8;;;;
751;SUAKHGWARZSWIH-UHFFFAOYSA-N;CCN(CC)C=O;1;;;;;;
752;SUAKHGWARZSWIH-UHFFFAOYSA-N;CCN(CC)C=O;1;;;;;;
757;YLZMMUJCZCSEEA-UHFFFAOYSA-M;C1=CC=[N+](C=C1)C2=CC=C(C=C2)Br.[Cl-];1;D2O;-166.1;;;;
758;YLZMMUJCZCSEEA-UHFFFAOYSA-M;C1=CC=[N+](C=C1)C2=CC=C(C=C2)Br.[Cl-];1;;;;;;
759;NGEDYVJWBRCEEM-UHFFFAOYSA-N;C[Si](C)(C)CC1=CC=CC=N1;1;C6D6;-66.0;;;;
760;NGEDYVJWBRCEEM-UHFFFAOYSA-N;C[Si](C)(C)CC1=CC=CC=N1;1;;;;;;
765;GCNTZFIIOFTKIY-UHFFFAOYSA-N;C1=CNC=CC1=O;1;DMSO;-222.0;;;;
766;GCNTZFIIOFTKIY-UHFFFAOYSA-N;C1=CNC=CC1=O;1;;;;;;
779;ZRWNRAJCPNLYAK-UHFFFAOYSA-N;C1=CC(=CC=C1C(=O)N)Br;1;CDCl3;-277.5;;;;
780;ZRWNRAJCPNLYAK-UHFFFAOYSA-N;C1=CC(=CC=C1C(=O)N)Br;1;DMSO;-278.7;;;;
781;ZRWNRAJCPNLYAK-UHFFFAOYSA-N;C1=CC(=CC=C1C(=O)N)Br;1;;;;;;
